,link_ping
0,55
1,63
2,41
3,62
4,60
5,41
6,57
7,41
8,68
9,85
10,73
11,61
12,59
13,82
14,54
15,80
16,63
17,77
18,75
19,64
20,83
21,88
22,75
23,74
24,56
25,56
26,62
27,56
28,56
29,54
30,69
31,58
32,69
33,81
34,69
35,79
36,81
37,67
38,66
39,68
40,42
41,73
42,97
43,54
44,70
45,47
46,99
47,67
48,56
49,67
50,40
51,93
52,122
53,82
54,60
55,106
56,105
57,43
58,228
59,70
60,55
61,402
62,53
63,50
64,137
65,38
66,66
67,44
68,98
69,62
70,60
71,71
72,62
73,60
74,53
75,82
76,62
77,89
78,72
79,55
80,56
81,49
82,34
83,47
84,36
85,114
86,38
87,69
88,47
89,58
90,55
91,63
92,64
93,58
94,57
95,39
96,65
97,77
98,70
99,67
100,57
101,52
102,1707
103,54
104,61
105,53
106,81
107,106
108,72
109,72
110,83
111,73
112,56
113,70
114,293
115,48
116,56
117,71
118,84
119,72
120,65
121,54
122,94
123,1707
124,55
125,58
126,57
127,80
128,58
129,66
130,46
131,61
132,75
133,65
134,79
135,50
136,82
137,63
138,53
139,69
140,57
141,87
142,53
143,59
144,67
145,41
146,88
147,89
148,62
149,68
150,79
151,502
152,702
153,723
154,157
155,368
156,509
157,2660
158,5000
159,5000
160,5000
161,5000
162,5000
163,5000
164,5000
165,5000
166,5000
167,5000
168,5000
169,5000
170,5000
171,5000
172,5000
173,5000
174,5000
175,39
176,41
177,41
178,44
179,90
180,1719
181,52
182,60
183,51
184,34
185,43
186,66
187,39
188,66
189,63
190,34
191,37
192,39
193,72
194,53
195,51
196,62
197,78
198,224
199,81
200,38
201,59
202,48
203,45
204,45
205,62
206,64
207,39
208,45
209,68
210,65
211,71
212,41
213,54
214,39
215,41
216,44
217,64
218,43
219,66
220,42
221,48
222,42
223,54
224,99
225,84
226,70
227,72
228,53
229,77
230,53
231,71
232,48
233,103
234,100
235,50
236,52
237,60
238,55
239,59
240,53
241,92
242,57
243,73
244,80
245,79
246,90
247,86
248,77
249,50
250,73
251,167
252,49
253,59
254,68
255,100
256,75
257,59
258,53
259,84
260,58
261,73
262,55
263,60
264,77
265,54
266,86
267,60
268,83
269,53
270,64
271,122
272,60
273,60
274,53
275,56
276,57
277,93
278,59
279,67
280,61
281,70
282,56
283,70
284,71
285,73
286,90
287,54
288,59
289,60
290,71
291,63
292,89
293,62
294,74
295,233
296,64
297,83
298,82
299,84
300,57
301,77
302,49
303,55
304,53
305,70
306,59
307,69
308,53
309,64
310,61
311,60
312,68
313,78
314,60
315,67
316,63
317,80
318,67
319,74
320,47
321,64
322,63
323,39
324,95
325,56
326,50
327,72
328,46
329,107
330,54
331,51
332,89
333,68
334,48
335,47
336,47
337,63
338,46
339,61
340,46
341,48
342,69
343,91
344,77
345,79
346,88
347,55
348,71
349,73
350,66
351,59
352,93
353,77
354,62
355,95
356,104
357,61
358,75
359,79
360,76
361,74
362,90
363,68
364,90
365,70
366,71
367,90
368,68
369,68
370,55
371,56
372,52
373,61
374,88
375,142
376,50
377,76
378,42
379,73
380,57
381,44
382,56
383,57
384,66
385,46
386,52
387,46
388,62
389,66
390,81
391,53
392,51
393,72
394,52
395,66
396,1707
397,84
398,5000
399,98
400,114
401,64
402,56
403,58
404,59
405,56
406,126
407,63
408,60
409,48
410,54
411,57
412,53
413,51
414,133
415,55
416,76
417,69
418,52
419,2273
420,84
421,124
422,62
423,58
424,55
425,61
426,70
427,56
428,54
429,60
430,62
431,55
432,54
433,58
434,59
435,56
436,57
437,73
438,100
439,62
440,73
441,49
442,64
443,67
444,51
445,49
446,57
447,49
448,63
449,56
450,49
451,49
452,56
453,53
454,66
455,54
456,49
457,47
458,49
459,61
460,48
461,48
462,48
463,49
464,121
465,74
466,74
467,95
468,72
469,73
470,77
471,77
472,72
473,95
474,135
475,75
476,128
477,67
478,75
479,71
480,75
481,78
482,74
483,56
484,66
485,68
486,65
487,61
488,127
489,75
490,1551
491,1551
492,78
493,72
494,92
495,145
496,77
497,67
498,69
499,70
500,66
501,114
502,80
503,66
504,69
505,66
506,74
507,79
508,69
509,61
510,61
511,62
512,56
513,56
514,5000
515,73
516,49
517,50
518,50
519,55
520,45
521,86
522,125
523,59
524,66
525,54
526,113
527,66
528,53
529,68
530,39
531,60
532,72
533,76
534,161
535,52
536,59
537,54
538,53
539,182
540,806
541,51
542,31
543,66
544,43
545,47
546,224
547,262
548,140
549,44
550,66
551,44
552,55
553,42
554,60
555,72
556,54
557,65
558,57
559,70
560,66
561,88
562,68
563,54
564,60
565,69
566,76
567,70
568,55
569,139
570,64
571,86
572,68
573,77
574,83
575,56
576,97
577,97
578,91
579,72
580,82
581,66
582,60
583,89
584,60
585,72
586,77
587,73
588,58
589,62
590,65
591,67
592,69
593,63
594,71
595,72
596,167
597,70
598,69
599,62
600,59
601,50
602,114
603,59
604,49
605,52
606,94
607,66
608,5000
609,54
610,57
611,56
612,56
613,59
614,60
615,74
616,57
617,56
618,84
619,48
620,49
621,75
622,72
623,67
624,97
625,57
626,72
627,87
628,54
629,67
630,66
631,67
632,69
633,81
634,68
635,70
636,56
637,54
638,58
639,44
640,53
641,69
642,55
643,66
644,119
645,54
646,92
647,59
648,62
649,93
650,49
651,55
652,49
653,66
654,1343
655,79
656,42
657,59
658,60
659,40
660,136
661,61
662,115
663,72
664,83
665,58
666,84
667,60
668,63
669,66
670,66
671,76
672,61
673,65
674,57
675,1721
676,1707
677,48
678,458
679,78
680,77
681,68
682,65
683,40
684,113
685,57
686,55
687,74
688,48
689,77
690,64
691,52
692,80
693,55
694,54
695,59
696,79
697,78
698,37
699,68
700,48
701,1702
702,73
703,43
704,78
705,66
706,70
707,85
708,73
709,74
710,62
711,57
712,43
713,120
714,68
715,52
716,71
717,115
718,60
719,48
720,71
721,70
722,93
723,62
724,76
725,77
726,49
727,58
728,79
729,74
730,75
731,186
732,75
733,5000
734,5000
735,39
736,40
737,55
738,48
739,39
740,39
741,38
742,68
743,61
744,45
745,41
746,52
747,41
748,43
749,160
750,70
751,114
752,85
753,66
754,53
755,58
756,51
757,57
758,103
759,58
760,56
761,82
762,86
763,76
764,66
765,74
766,65
767,58
768,60
769,86
770,72
771,51
772,75
773,65
774,50
775,46
776,72
777,81
778,76
779,63
780,79
781,61
782,100
783,73
784,96
785,49
786,49
787,48
788,73
789,64
790,57
791,54
792,49
793,54
794,115
795,678
796,56
797,60
798,57
799,81
800,113
801,74
802,49
803,61
804,51
805,48
806,49
807,74
808,70
809,84
810,57
811,56
812,122
813,128
814,66
815,67
816,66
817,58
818,56
819,55
820,54
821,629
822,204
823,5000
824,5000
825,157
826,53
827,289
828,52
829,61
830,38
831,42
832,63
833,79
834,41
835,67
836,76
837,51
838,63
839,51
840,60
841,64
842,66
843,71
844,67
845,69
846,55
847,50
848,56
849,56
850,59
851,54
852,81
853,58
854,46
855,123
856,62
857,48
858,67
859,140
860,71
861,81
862,63
863,82
864,60
865,47
866,63
867,1725
868,67
869,75
870,82
871,67
872,55
873,58
874,63
875,72
876,70
877,48
878,49
879,49
880,64
881,75
882,1722
883,80
884,69
885,78
886,85
887,63
888,53
889,62
890,54
891,51
892,88
893,67
894,66
895,75
896,55
897,54
898,64
899,79
900,78
901,49
902,107
903,70
904,63
905,80
906,55
907,47
908,69
909,72
910,55
911,65
912,54
913,54
914,74
915,71
916,45
917,95
918,94
919,1707
920,59
921,59
922,59
923,42
924,80
925,80
926,63
927,73
928,77
929,69
930,66
931,55
932,94
933,80
934,81
935,66
936,40
937,70
938,62
939,54
940,68
941,5000
942,86
943,47
944,72
945,74
946,48
947,58
948,65
949,58
950,67
951,57
952,71
953,70
954,55
955,96
956,43
957,97
958,54
959,1707
960,54
961,68
962,38
963,41
964,39
965,59
966,50
967,71
968,76
969,61
970,90
971,52
972,66
973,73
974,102
975,68
976,82
977,55
978,54
979,56
980,57
981,103
982,67
983,66
984,69
985,67
986,51
987,543
988,928
989,1702
990,73
991,3218
992,75
993,54
994,50
995,63
996,43
997,58
998,67
999,54
1000,54
1001,204
1002,98
1003,76
1004,60
1005,108
1006,48
1007,83
1008,67
1009,49
1010,91
1011,49
1012,92
1013,48
1014,49
1015,91
1016,5000
1017,119
1018,54
1019,71
1020,53
1021,42
1022,63
1023,56
1024,61
1025,69
1026,56
1027,55
1028,43
1029,72
1030,103
1031,75
1032,65
1033,94
1034,68
1035,55
1036,54
1037,80
1038,99
1039,66
1040,85
1041,73
1042,30
1043,50
1044,69
1045,60
1046,140
1047,62
1048,58
1049,77
1050,63
1051,40
1052,45
1053,59
1054,64
1055,82
1056,57
1057,55
1058,74
1059,66
1060,66
1061,5000
1062,48
1063,76
1064,69
1065,138
1066,64
1067,88
1068,66
1069,60
